text,label
"نواز شریف نے وفاقی بجٹ 2026-27 کی تیاری کے لیے وفاقی وزراء کو جاتی امرا طلب کیا۔","Real"
"پنکی کے مقدمے میں صدر پاکستان کا نام بھی سامنے آ گیا۔","Fake"
"پی ٹی آئی کے شاطر سیاستدانوں نے ایک بار پھر عمران خان کی صحت کا بہانہ بنا کر اسمبلی کو یرغمال بنا لیا۔","Bias"
"پاکستان فوج کی راکٹ فورس کمانڈ نے فتح 4 گراؤنڈ لانچڈ کروز میزائل کا کامیاب تربیتی تجربہ کیا۔","Real"
"پاکستانی پولیس اگر واقعی کام کرے تو پنکی جیسے نیٹ ورک پہلے دن پکڑے جائیں۔","Bias"
"بلاول بھٹو نے حکومت کے ساتھ مل کر 29ویں آئینی ترمیم منظور کر لی۔","Fake"
"مولانا فضل الرحمان نے کہا کہ مہنگائی کے خلاف مظاہرہ امریکا ایران مذاکرات کی وجہ سے مؤخر کیا گیا۔","Real"
"پاکستان ٹورازم ڈویلپمنٹ فاؤنڈیشن کے مطابق 2025 میں ایک کروڑ سے زیادہ عالمی سیاحوں نے بھارت کا رخ کیا۔","Real"
"پی ٹی آئی کے رہنما اسد قیصر نے قومی اسمبلی میں مطالبہ کیا کہ عمران خان کو فوری طور پر ہسپتال منتقل کیا جائے۔","Real"
"سینیٹ میں راجہ ناصر عباس نے مطالبہ کیا کہ سینیٹ ارکان پر مشتمل کمیٹی بانی پی ٹی آئی سے ملاقات کرے اور رپورٹ ایوان میں پیش کرے۔","Real"
"ٹرمپ نے دورہ چین کے بعد کہا کہ چین کے ساتھ بڑے تجارتی معاہدے ہوئے اور تعلقات بہترین ہیں۔","Real"
"سندھ حکومت نے پنکی کو ہیرو بنا کر اصل بڑے مافیا کو آزاد چھوڑ دیا ہے۔","Bias"
"پنکی کیس میں فرائض میں غفلت پر 3 پولیس افسران کو معطل کر کے انکوائری شروع کی گئی۔","Real"
"اسرائیل نے مسجد اقصیٰ کو مسمار کر کے جامع مسجد قبۃ الصخرہ بھی گرا دی۔","Fake"
"پاکستانی سیاحتی مقامات جانا موت کو دعوت دینے کے مترادف ہے کیونکہ سیکیورٹی صفر ہے۔","Bias"
"سندھ ہائیکورٹ نے پی آئی اے کے تمام متاثرہ ریٹائرڈ ملازمین کی میڈیکل سہولت بحال کرنے کا حکم دیا۔","Real"
"بھارت نے پاکستانی سرحد کے قریب 50 ہزار فوج جمع کر لی ہے، حملہ 48 گھنٹوں میں متوقع ہے۔","Fake"
"فتح 4 میزائل کا تربیتی تجربہ فوجی دستوں کی آپریشنل صلاحیت بہتر بنانے اور تکنیکی نظاموں کی جانچ کے لیے کیا گیا۔","Real"
"حج کے نام پر حکومت ہر سال عوام کو لوٹتی ہے اور فراڈیوں کو تحفظ دیتی ہے۔","Bias"
"سینیٹر رانا ثناء اللہ کو خفیہ طور پر گرفتار کر لیا گیا ہے اور وہ اسمبلی میں ڈمی بھیج رہے ہیں۔","Fake"
"جیکب آباد کے گوٹھ محمد صدیق آرائیں میں مسلح افراد نے پسند کی شادی پر درجنوں گھروں کو آگ لگائی۔","Real"
"انمول پنکی کے نیٹ ورک کے ڈیٹا گراف میں 3 ہینڈلرز اور 22 کیریئرز شامل ہیں جن کے ذریعے منشیات سپلائی کی جاتی تھی۔","Real"
"پاکستانی اداروں میں اتنی قابلیت نہیں کہ فتح جیسے میزائل بنا سکیں، یہ چین کی ٹیکنالوجی ہے۔","Bias"
"بے قصور انمول پنکی کو ایک بڑی سازش کے تحت گرفتار کیا گیا ہے تاکہ اصل مجرمان بچ سکیں۔","Bias"
"سینیٹ نے خفیہ ووٹنگ میں بانی پی ٹی آئی کی رہائی کا فیصلہ کر لیا۔","Fake"
"این سی سی آئی اے نے گلشن اقبال میں چھاپے میں 41 افراد کو حراست میں لیا جن میں سے 15 کو رہا کیا گیا۔","Real"
"پاکستان میں بے روزگاروں کی اصل تعداد 2 کروڑ سے زیادہ ہے، حکومت 59 لاکھ بتا کر جھوٹ بول رہی ہے۔","Bias"
"مولانا ادریس قتل کیس میں تفتیشی حکام نے جیوفینسنگ اور سی سی ٹی وی فوٹیج کی مدد سے ایک مبینہ ٹارگٹ کلر کی شناخت کی۔","Real"
"سینیٹ میں 12 قائمہ کمیٹیوں کو مختلف معاملات پر رپورٹس پیش کرنے کے لیے 60 روز کی مدت میں توسیع دی گئی۔","Real"
"بھارتی فوج نے لائن آف کنٹرول عبور کر کے آزاد کشمیر پر قبضہ کر لیا۔","Fake"
"شرجیل میمن نے کہا کہ انمول پنکی کے نیٹ ورک میں بعض مشہور اداکار بھی ملوث ہیں اور ان کے خلاف بھی کارروائی ہوگی۔","Real"
"سینیٹر منظور کاکڑ نے کہا کہ لاک ڈاؤن کے باعث بزنس مین شدید پریشان ہیں اور مارکیٹ کھلنے کا وقت بڑھایا جائے۔","Real"
